BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,cluster,Segment
7.92796367,1,0,0,0,5.85166035,0,0,0,0.083333,1,0,8.006700845,6.692887357,6.898677062,0,12,1,Big Spenders
8.837421816,1,7.385665072,0,7.385665072,7.741746975,0.5,0,0.5,0.166667,4,11,8.987321813,7.598118226,7.65487275,0,12,2,Inactive Customers
7.63678798,0.875,0,0,0,7.932101784,0,0,0,0.25,3,0,8.006700845,5.973744882,5.933781489,0,8,1,Big Spenders
3.739798042,0.454545,6.253828812,0,6.253828812,0,0.416667,0,0.333333,0,0,8,7.824445931,5.543577188,4.306807559,0.25,12,3,EMI Users
7.595926213,1,6.225251259,5.117993812,5.827032023,0,0.666667,0.083333,0.583333,0,0,9,9.472781557,7.45114724,6.614207229,0,12,2,Inactive Customers
8.759438155,1,8.757933016,8.684577068,6.111267763,5.438202106,1,0.916667,1,0.333333,6,92,9.328212293,7.639622591,7.415039685,0,12,2,Inactive Customers
4.892919056,0.636364,6.705516688,0,6.705516688,0,1,0,1,0,0,17,7.496097345,7.766683794,4.469688939,0,12,0,Cash Advance Lovers
8.243059294,0.818182,8.354521309,8.147739807,6.678077929,8.984119042,1,0.083333,0.916667,0.333333,13,13,9.105090961,9.15694422,7.262927662,0,12,2,Inactive Customers
8.588503337,1,0,0,0,6.684549054,0,0,0,0.363636,4,0,8.699681401,7.261033154,7.413369071,0,11,1,Big Spenders
5.14038601,1,5.992963423,0,5.992963423,0,1,0,1,0,0,12,8.006700845,5.376694728,5.099900183,0,12,0,Cash Advance Lovers
7.3883076,1,4.634728988,4.634728988,0,5.504682891,0.166667,0.166667,0,0.25,5,2,7.438971592,6.792545131,6.879544273,0,12,1,Big Spenders
4.841781179,1,5.456516981,0,5.456516981,0,1,0,1,0,0,12,6.908754779,5.341250962,5.110473504,0,12,0,Cash Advance Lovers
8.875407961,1,5.961134197,5.325689313,5.212214667,7.712955894,0.666667,0.166667,0.416667,0.833333,16,8,9.25922577,7.379287956,7.408440469,0,12,1,Big Spenders
3.138250848,1,4.615120517,0,4.615120517,0,0.416667,0,0.416667,0,0,5,8.839421608,5.086161807,5.079442454,0,12,0,Cash Advance Lovers
9.40403204,1,8.019287083,6.921855403,7.6137249,8.066076728,1,0.166667,1,0.5,10,64,9.472781557,8.350270105,8.099558847,0,12,2,Inactive Customers
7.058993141,1,7.206903859,5.993961427,6.855103167,5.175108258,1,0.083333,1,0.166667,2,45,8.699681401,6.472343665,5.552374107,0,12,2,Inactive Customers
8.814898324,1,5.786743995,5.786743995,0,7.082157017,0.083333,0.083333,0,0.166667,3,3,9.25922577,7.450729868,7.827139368,0,12,1,Big Spenders
4.841509908,1,6.458009076,6.458009076,0,0,0.916667,0.916667,0,0,0,11,7.090909822,6.050793497,5.284734967,0.3,12,3,EMI Users
7.412975691,1,0,0,0,4.607810368,0,0,0,0.083333,1,0,7.496097345,5.865051187,6.45452115,0,12,1,Big Spenders
8.913022281,1,0,0,0,9.090923195,0,0,0,0.727273,11,0,9.105090961,7.400841445,7.594805716,0,11,1,Big Spenders
8.306096986,1,7.775506815,7.404382582,6.605811997,7.437595514,0.75,0.5,0.75,0.333333,7,41,8.517393171,7.389498736,7.340927382,0,12,2,Inactive Customers
8.743598321,1,5.323009979,5.323009979,0,7.98163074,0.083333,0.083333,0,0.333333,12,2,9.105090961,7.121342644,7.625794486,0,12,1,Big Spenders
7.253188836,0.454545,6.871340226,6.871340226,0,8.728212804,0.083333,0.083333,0,0.333333,6,6,8.922791624,9.907084847,6.580568379,0.333333,12,1,Big Spenders
6.498956335,0.727273,0,0,0,8.050085823,0,0,0,0.25,3,0,7.496097345,8.028800012,5.650147652,0.166667,12,1,Big Spenders
6.666816531,0.909091,7.331446609,6.66860937,6.608391912,7.691391768,0.583333,0.416667,0.333333,0.25,11,27,8.006700845,7.141490275,5.897545923,0.111111,12,2,Inactive Customers
8.320134161,1,5.322131545,5.322131545,0,0,0.083333,0.083333,0,0,0,1,8.412054873,6.767659847,7.496799398,0,12,1,Big Spenders
7.216520318,1,0,0,0,7.301543877,0,0,0,0.083333,1,0,7.313886832,5.938312228,5.775650746,0,12,1,Big Spenders
8.578654281,1,7.330693506,6.154433375,6.962849341,0,1,0.333333,1,0,0,20,9.047939083,7.266367396,7.185171023,0,12,2,Inactive Customers
6.164255728,0.5,4.707185111,0,4.707185111,6.922308418,0.375,0,0.25,0.125,1,3,7.438971592,5.176223204,4.998561309,0,8,3,EMI Users
5.441842562,1,7.779717877,7.247030726,6.896360606,0,1,0.666667,1,0,0,87,8.101980732,7.841867681,5.174214669,0.916667,12,2,Inactive Customers
6.762509637,1,6.231465215,6.231465215,0,6.545489247,0.166667,0.166667,0,0.083333,2,3,8.294299609,6.378199419,5.661044476,0.083333,12,1,Big Spenders
8.503567149,1,6.805080044,6.47245448,5.546543698,9.051537894,0.625,0.375,0.25,0.875,37,9,9.392745259,9.001382889,6.921082043,0,8,1,Big Spenders
6.984613134,1,8.042008162,7.706495948,6.787968988,0,0.666667,0.583333,0.5,0,0,18,7.824445931,7.244819012,7.187994674,0,12,2,Inactive Customers
7.356714711,1,0,0,0,5.77566625,0,0,0,0.25,3,0,8.160803921,6.540777845,6.367298141,0,12,1,Big Spenders
6.143486153,0.888889,7.590963229,7.590963229,0,7.591995663,0.666667,0.666667,0,0.111111,1,11,8.006700845,8.04271645,4.893697584,0.2,9,2,Inactive Customers
2.036079475,0.636364,5.739792912,0,5.739792912,0,0.666667,0,0.666667,0,0,8,6.908754779,6.035521535,6.762968256,0,12,0,Cash Advance Lovers
7.777931129,1,8.559988278,8.474304479,6.062691588,0,0.916667,0.916667,0.5,0,0,42,8.922791624,8.644658907,7.17970033,0.083333,12,2,Inactive Customers
8.28705996,1,0,0,0,5.41865499,0,0,0,0.181818,3,0,8.294299609,6.641102177,7.378516273,0,11,1,Big Spenders
8.611576407,1,5.438079309,0,5.438079309,6.878935276,0.416667,0,0.333333,0.333333,4,6,8.699681401,7.65518088,7.547515485,0,12,1,Big Spenders
7.53908771,0.727273,4.736198448,4.736198448,0,0,0.166667,0.166667,0,0,0,2,8.77971129,8.163566899,6.308291203,0,12,3,EMI Users
7.350383665,1,4.207673248,4.207673248,0,0,0.083333,0.083333,0,0,0,1,7.378383713,5.826246865,6.731275435,0,12,3,EMI Users
6.697753715,0.909091,0,0,0,8.248181724,0,0,0,0.545455,7,0,8.331104548,8.383238543,5.491601065,0.090909,11,1,Big Spenders
7.562622442,1,7.543612272,0,7.543612272,7.38209286,1,0,1,0.083333,4,61,7.523481313,8.213123166,8.09193247,0.083333,12,2,Inactive Customers
7.472534847,1,6.024246305,5.787541346,4.478699522,0,0.583333,0.333333,0.166667,0,0,11,7.496097345,6.65730688,6.80117785,0,12,2,Inactive Customers
6.698079941,0.875,0,0,0,6.812811001,0,0,0,0.125,1,0,7.313886832,4.99094109,5.195245857,0,8,1,Big Spenders
7.363472992,1,0,0,0,5.950404365,0,0,0,0.416667,6,0,7.824445931,6.293460359,5.868968622,0,12,1,Big Spenders
8.291928286,1,5.577841251,5.255409866,4.302712828,0,0.666667,0.083333,0.583333,0,0,8,8.699681401,8.836059376,6.910359252,0.083333,12,2,Inactive Customers
7.438639665,1,7.218682576,7.218682576,0,0,0.333333,0.333333,0,0,0,4,7.438971592,7.393150072,6.829259398,0,12,3,EMI Users
8.610443747,1,6.040492778,0,6.040492778,6.439988164,0.916667,0,0.833333,0.333333,4,11,8.74049673,7.161788714,7.687943026,0,12,2,Inactive Customers
6.48770382,1,0,0,0,7.296650462,0,0,0,0.125,3,0,8.853808275,6.815045499,4.955708691,0.25,8,1,Big Spenders
7.501066886,1,6.572142673,6.222734986,5.355736857,0,0.5,0.1,0.4,0,0,8,7.719129841,6.791241033,6.435761985,0,10,2,Inactive Customers
6.279148839,0.909091,6.675747557,6.24928002,5.621487232,0,0.272727,0.090909,0.181818,0,0,7,8.699681401,7.174860062,5.173379481,0,11,3,EMI Users
8.676149498,1,6.333048696,5.523458921,5.747384601,0,0.833333,0.166667,0.75,0,0,14,8.699681401,7.596414905,7.67898707,0,12,2,Inactive Customers
7.455089354,1,6.408709994,6.408709994,0,0,1,1,0,0,0,17,9.305741457,7.993255494,6.437202688,0,12,2,Inactive Customers
6.36269991,1,5.771441123,0,5.771441123,0,0.75,0,0.666667,0,0,8,7.313886832,7.272336286,5.253249611,0,12,0,Cash Advance Lovers
8.794039869,1,5.965274564,5.965274564,0,8.438784973,0.583333,0.583333,0,0.416667,7,7,8.853808275,7.39362187,7.825805398,0,12,1,Big Spenders
2.910041642,0.909091,5.504721594,3.718680945,5.326127067,0,0.666667,0.166667,0.583333,0,0,13,8.517393171,5.882770933,4.808302163,0.181818,12,0,Cash Advance Lovers
4.413824567,0.272727,0,0,0,8.001790444,0,0,0,0.166667,5,0,9.159152335,4.767025676,5.110131464,0,12,3,EMI Users
1.56575976,0.636364,4.898212865,3.374168709,4.662022998,0,0.416667,0.166667,0.25,0,0,5,9.392745259,5.352111334,4.610493343,0.444444,12,3,EMI Users
3.771942902,0.545455,5.983936281,0,5.983936281,0,0.5,0,0.416667,0,0,12,7.090909822,6.588384644,4.954484283,1,12,0,Cash Advance Lovers
7.568566485,1,8.500372514,8.41545721,5.994609596,5.686449089,1,1,0.333333,0.083333,1,50,9.105090961,8.501483822,6.389832339,0,12,2,Inactive Customers
4.912045892,1,7.129938369,7.129938369,0,0,1,1,0,0,0,22,9.711176264,7.151665257,5.149569004,1,12,2,Inactive Customers
8.863750175,1,7.380741955,7.276653217,5.07292128,8.635332438,1,0.833333,1,0.75,23,23,9.305741457,8.431825676,7.537570138,0,12,2,Inactive Customers
9.009722591,1,7.722681943,7.185220335,6.846124526,8.566407824,1,0.75,1,0.75,21,60,9.510519036,8.013864676,7.637996654,0,12,2,Inactive Customers
8.303580491,1,3.828641396,3.828641396,0,4.65622506,0.083333,0.083333,0,0.083333,1,1,8.412054873,6.979931637,6.877235518,0,12,1,Big Spenders
8.717889112,1,0,0,0,7.907745011,0,0,0,0.416667,14,0,8.77971129,7.315355194,7.96045637,0,12,1,Big Spenders
7.589845097,1,6.940261191,5.428906936,6.692257425,8.374919519,0.909091,0.090909,0.818182,0.545455,21,17,8.294299609,8.025328329,6.815319242,0.090909,11,2,Inactive Customers
7.187261077,1,3.842672927,3.842672927,0,6.207901528,0.083333,0.083333,0,0.083333,1,1,7.496097345,6.090948819,5.747992758,0,12,1,Big Spenders
7.039470044,1,0,0,0,4.800843148,0,0,0,0.083333,1,0,7.090909822,5.029284649,7.974915003,0,12,1,Big Spenders
7.390771197,1,6.607244604,6.607244604,0,0,0.666667,0.666667,0,0,0,11,8.699681401,6.035788878,5.966501848,0,12,2,Inactive Customers
1.741875882,0.363636,4.382026635,0,4.382026635,0,0.25,0,0.166667,0,0,3,8.853808275,5.388250379,4.81040395,1,12,3,EMI Users
3.194354049,0.272727,7.205843024,0,7.205843024,0,1,0,1,0,0,12,7.601402335,6.569690589,4.021624396,0,12,0,Cash Advance Lovers
8.172108509,1,7.946192845,7.340452861,7.158039176,0,0.916667,0.916667,0.833333,0,0,75,8.648396877,9.124105606,7.6519739,0.083333,12,2,Inactive Customers
6.760498558,1,0,0,0,6.825796359,0,0,0,0.083333,1,0,8.294299609,7.713288851,5.374482526,0.083333,12,1,Big Spenders
7.800794985,1,6.695798917,6.695798917,0,6.867825868,0.25,0.25,0,0.333333,6,4,8.294299609,6.279912012,6.935347099,0,12,1,Big Spenders
6.015318674,1,6.848684449,0,6.848684449,0,1,0,1,0,0,12,7.824445931,7.001964325,5.179593542,0.083333,12,0,Cash Advance Lovers
8.514670172,1,0,0,0,8.601620285,0,0,0,0.583333,40,0,8.987321813,7.12491136,7.272558726,0,12,1,Big Spenders
7.128996669,1,6.051383037,5.185372608,5.509631222,6.024413369,0.666667,0.166667,0.5,0.083333,2,10,7.601402335,6.359661015,6.21333813,0,12,2,Inactive Customers
8.801650317,1,8.40732252,7.909338912,7.472023087,8.882741562,1,0.916667,1,0.583333,21,64,9.105090961,9.292744278,7.812204709,0.083333,12,2,Inactive Customers
5.057625446,0.818182,7.212191218,6.374394297,6.646689172,0,0.916667,0.333333,0.833333,0,0,34,8.612685173,6.756905275,4.694278693,0,12,2,Inactive Customers
8.57997907,1,7.942077904,6.75474395,7.57869775,7.828576911,1,0.25,1,0.333333,8,81,9.047939083,7.32014518,7.514816964,0,12,2,Inactive Customers
8.773316807,1,0,0,0,8.120061899,0,0,0,0.25,11,0,8.853808275,7.153652221,7.923390128,0,12,1,Big Spenders
5.172423312,0.818182,7.319798702,7.133583224,5.551175048,0,0.666667,0.416667,0.333333,0,0,14,8.517393171,7.54180393,4.924640302,1,12,2,Inactive Customers
6.523848839,1,6.953273429,6.505709319,5.936533064,0,1,0.583333,1,0,0,25,8.006700845,6.316139441,5.340995754,0,12,2,Inactive Customers
5.415049254,0.636364,7.745340409,0,7.745340409,0,0.583333,0,0.5,0,0,12,8.77971129,7.096565638,4.608891732,0.333333,12,0,Cash Advance Lovers
7.488084732,1,0,0,0,6.358199884,0,0,0,0.25,10,0,7.496097345,6.534793762,7.799809101,0,12,1,Big Spenders
4.024158676,0.272727,6.206575927,0,6.206575927,0,0.166667,0,0.166667,0,0,2,8.853808275,7.586217951,4.99754973,1,12,3,EMI Users
7.887445078,1,0,0,0,6.234457393,0,0,0,0.333333,4,0,8.006700845,6.838854034,6.565556499,0,12,1,Big Spenders
9.048512528,1,8.813625865,8.319005633,7.872904744,7.431062548,1,0.916667,1,0.5,10,85,9.741027445,7.544203455,7.681766155,0,12,2,Inactive Customers
7.656885116,1,8.627275542,0,8.627275542,0,1,0,1,0,0,75,9.047939083,8.179193566,6.447312408,0,12,2,Inactive Customers
7.964641152,1,0,0,0,6.907603938,0,0,0,0.166667,2,0,8.07121854,6.972068998,7.253928939,0,12,1,Big Spenders
9.562764372,1,0,0,0,8.437159754,0,0,0,0.333333,9,0,9.852246888,8.028655428,8.133663434,0,12,1,Big Spenders
7.780686524,1,9.430554838,9.430554838,0,0,0.916667,0.916667,0,0,0,217,7.937731775,9.361318789,7.601897425,0,12,2,Inactive Customers
4.068226451,0.75,0,0,0,5.612081216,0,0,0,0.125,1,0,7.090909822,5.958047035,4.450821227,0.166667,8,3,EMI Users
8.35393401,1,7.579832029,6.983141006,6.781057626,0,0.833333,0.166667,0.583333,0,0,19,8.517393171,6.913095733,6.991571387,0,12,2,Inactive Customers
9.32082878,1,5.021509291,5.021509291,0,9.031590938,0.083333,0.083333,0,0.5,14,1,9.741027445,7.865978194,7.970767042,0,12,1,Big Spenders
8.44222137,1,7.148440079,5.865164091,6.825003906,0,0.833333,0.25,0.833333,0,0,33,8.517393171,7.553303409,8.181239011,0,12,2,Inactive Customers
3.230210148,0.636364,5.527840525,0,5.527840525,0,0.583333,0,0.5,0,0,7,8.006700845,5.77070223,5.162680937,0,12,3,EMI Users
9.1436727,1,6.681268646,6.681268646,0,9.528755652,0.083333,0.083333,0,0.666667,16,1,9.472781557,9.274784388,7.863987895,0.083333,12,1,Big Spenders
5.447207067,1,6.089044875,0,6.089044875,0,0.916667,0,0.916667,0,0,22,8.294299609,6.319178077,5.226236,0,12,0,Cash Advance Lovers
7.354767458,1,7.194151525,7.065297344,5.087534605,0,0.5,0.166667,0.25,0,0,8,7.601402335,6.929305053,6.566123831,0,12,2,Inactive Customers
7.822392067,1,8.611191602,7.238137581,8.319300633,0,1,0.5,1,0,0,52,9.741027445,6.923935621,6.424745872,0,12,2,Inactive Customers
6.56121861,1,6.801127294,6.573009551,5.216781879,6.375482919,0.916667,0.333333,0.916667,0.25,3,18,7.090909822,6.880751998,5.22318628,0,12,2,Inactive Customers
7.712490046,1,6.581470969,6.581470969,0,6.585217716,1,1,0,0.083333,1,12,7.824445931,6.96818456,6.536863929,0,12,2,Inactive Customers
6.854492478,1,5.288570015,5.008366055,3.899950424,0,0.333333,0.25,0.166667,0,0,5,6.908754779,6.200915621,6.23516374,0,12,3,EMI Users
6.639930938,0.818182,0,0,0,7.176332905,0,0,0,0.166667,3,0,8.922791624,7.357433041,5.158823824,0,12,1,Big Spenders
9.268559068,1,7.642754324,7.171257357,6.665683718,0,0.666667,0.416667,0.583333,0,0,13,9.975854725,8.077329612,8.029147995,0,12,2,Inactive Customers
7.680027249,1,8.662221243,8.142508469,7.759541622,0,1,1,1,0,0,97,8.77971129,8.393309437,6.305251294,0,12,2,Inactive Customers
8.025647363,1,6.933423026,6.933423026,0,0,0.083333,0.083333,0,0,0,2,8.922791624,6.550871878,6.710136513,0,12,3,EMI Users
3.013304916,0.909091,6.537705576,0,6.537705576,0,0.833333,0,0.833333,0,0,10,9.210440367,6.616989826,6.762968256,0,12,0,Cash Advance Lovers
5.582787768,1,3.389462125,3.389462125,0,5.953923051,0.083333,0.083333,0,0.083333,1,1,9.105090961,7.120145273,5.274662053,0.083333,12,1,Big Spenders
7.011414625,0.909091,6.852200285,5.111746795,6.66057515,0,0.5,0.25,0.416667,0,0,9,7.313886832,7.57875856,6.901387534,0,12,2,Inactive Customers
6.810774801,1,6.947168281,4.394449155,6.867141596,4.645372062,0.833333,0.083333,0.833333,0.083333,1,11,9.510519036,7.526305741,6.151022152,0.083333,12,2,Inactive Customers
7.329691627,1,8.312962165,8.108707526,6.625511724,0,1,1,1,0,0,31,8.77971129,7.721020553,5.799990675,0,12,2,Inactive Customers
3.91613964,1,6.769917484,0,6.769917484,0,1,0,1,0,0,24,8.987321813,6.729632836,5.267915714,1,12,0,Cash Advance Lovers
9.52325732,1,9.18944661,8.284203829,8.671358728,7.801982691,1,0.75,1,0.75,26,216,9.903537551,9.368907679,8.706720661,0,12,2,Inactive Customers
4.677081229,0.636364,7.809590025,6.672703607,7.423323638,0,1,0.5,1,0,0,46,8.294299609,7.853497143,4.567906686,0.636364,12,2,Inactive Customers
4.793812591,0.363636,7.528514546,0,7.528514546,0,0.333333,0,0.25,0,0,4,9.903537551,8.040857758,5.669548551,0.25,12,3,EMI Users
7.4590566,1,0,0,0,4.208801346,0,0,0,0.166667,2,0,7.496097345,5.898456467,7.947677696,0,12,1,Big Spenders
7.925428004,1,8.893477999,8.534701031,7.694848072,0,1,1,0.666667,0,0,77,9.305741457,9.573203632,6.965201634,0.25,12,2,Inactive Customers
6.954037931,1,5.690359454,5.690359454,0,4.549444018,0.083333,0.083333,0,0.083333,1,2,7.090909822,6.087699486,5.896709222,0,12,3,EMI Users
7.915117284,1,0,0,0,6.065391276,0,0,0,0.416667,5,0,8.006700845,6.659073374,6.583130589,0,12,1,Big Spenders
8.297996383,1,0,0,0,6.897054442,0,0,0,0.083333,1,0,9.047939083,6.917888796,7.071700635,0,12,1,Big Spenders
6.771441708,1,6.475771642,4.753590191,6.280807739,0,1,0.083333,1,0,0,27,7.090909822,7.013813334,5.3437611,0,12,0,Cash Advance Lovers
7.384635338,1,6.324699406,6.266517203,3.482777369,0,0.25,0.083333,0.166667,0,0,5,8.294299609,6.04905362,6.424878487,0,12,3,EMI Users
4.750082469,1,6.15481563,0,6.15481563,0,1,0,0.833333,0,0,6,6.908754779,5.908379938,4.467085345,0.5,6,0,Cash Advance Lovers
8.665886838,1,0,0,0,5.916069423,0,0,0,0.083333,1,0,8.77971129,7.205906546,7.587577077,0,12,1,Big Spenders
6.714296646,0.363636,4.887638691,0,4.887638691,0,1,0,1,0,0,12,8.987321813,7.978335503,5.497985506,0,12,0,Cash Advance Lovers
6.391376503,1,8.532897235,8.373676107,6.618218154,7.262237642,0.916667,0.666667,0.75,0.083333,1,42,9.615872145,8.467510047,5.492625435,0.916667,12,2,Inactive Customers
7.029197888,1,6.830442176,0,6.830442176,0,1,0,1,0,0,12,6.908754779,7.093165213,7.46624892,0,12,0,Cash Advance Lovers
5.859192652,1,7.589032287,7.240291207,6.368015645,0,0.666667,0.416667,0.333333,0,0,17,8.294299609,7.493324055,5.12527075,0,12,2,Inactive Customers
6.735547298,0.666667,0,0,0,8.208703451,0,0,0,0.222222,5,0,8.294299609,8.194855208,5.268741295,0,9,1,Big Spenders
6.884427293,1,9.232331779,8.873801333,8.032999761,7.391221351,1,1,0.833333,0.583333,18,130,9.25922577,9.277484482,5.854042949,0.75,12,2,Inactive Customers
3.182671818,0.363636,5.707110265,0,5.707110265,0,0.25,0,0.166667,0,0,3,9.43356392,5.679997966,3.79442532,0.181818,12,3,EMI Users
7.691077781,0.857143,0,0,0,8.270352635,0,0,0,0.285714,9,0,8.006700845,7.261778733,6.136355976,0.2,7,1,Big Spenders
9.390410316,1,8.651024539,8.452449849,6.937760583,7.394709043,1,1,1,0.166667,3,90,9.546884035,8.44258036,8.068812028,0,12,2,Inactive Customers
7.383648917,1,0,0,0,5.331448252,0,0,0,0.166667,2,0,7.496097345,6.156059037,6.015667154,0,12,1,Big Spenders
7.984203917,1,0,0,0,7.621407744,0,0,0,0.583333,13,0,8.006700845,7.796707103,7.462070662,0,12,1,Big Spenders
5.822453756,1,8.170977643,7.387523578,7.561173617,0,1,0.416667,0.916667,0,0,44,9.903537551,7.942799678,5.232342267,1,12,2,Inactive Customers
3.617284414,0.454545,5.549504009,0,5.549504009,0,0.416667,0,0.416667,0,0,5,8.575650761,6.724283447,5.247218616,0.166667,12,3,EMI Users
6.807158742,1,7.900443931,5.020585625,7.843056167,0,1,0.333333,1,0,0,39,7.824445931,7.430823462,5.718216573,0,12,2,Inactive Customers
7.966327762,1,4.770684624,0,4.770684624,9.779198736,0.25,0,0.166667,0.75,28,3,8.412054873,9.758625488,6.837996194,0.166667,12,1,Big Spenders
4.774429164,1,6.484222937,6.202535517,5.085928278,0,0.666667,0.416667,0.416667,0,0,15,9.210440367,6.092639633,4.926006183,0,12,2,Inactive Customers
5.132986894,0.818182,7.605914876,0,7.605914876,0,0.833333,0,0.75,0,0,22,7.090909822,7.868545267,5.291486882,0.142857,12,0,Cash Advance Lovers
7.442501146,1,5.002468705,0,5.002468705,7.413421787,0.166667,0,0.166667,0.25,4,2,8.699681401,7.07923727,5.92851278,0,12,1,Big Spenders
6.774890232,1,6.249086817,5.07561122,5.881844975,0,1,0.333333,0.916667,0,0,30,6.803505258,6.36431918,6.543760348,0,12,2,Inactive Customers
6.874458795,1,5.744444456,5.744444456,0,6.863761331,0.333333,0.333333,0,0.083333,1,15,7.313886832,5.629498627,5.660524627,0,12,3,EMI Users
3.679224091,0.727273,5.639777145,5.639777145,0,0,0.25,0.25,0,0,0,3,8.724369949,5.542803473,4.039531748,0.090909,12,3,EMI Users
3.723697581,0.363636,4.384523515,4.384523515,0,7.397914644,0.083333,0.083333,0,0.083333,1,1,8.294299609,7.407852017,3.250989729,0.083333,12,3,EMI Users
8.605917563,1,7.282293716,0,7.282293716,0,0.5,0,0.5,0,0,18,9.711176264,7.232204909,7.470938298,0,12,2,Inactive Customers
8.290273445,1,6.630076341,6.630076341,0,0,0.5,0.5,0,0,0,15,8.294299609,7.013799408,7.26696782,0,12,2,Inactive Customers
8.628707065,1,8.16290112,6.404815149,7.974050966,0,0.916667,0.166667,0.833333,0,0,34,9.350189267,7.253892978,7.509979717,0,12,2,Inactive Customers
5.642511066,0.818182,8.059810383,4.056988776,8.041699318,0,0.75,0.083333,0.666667,0,0,36,8.987321813,7.793137887,5.236688124,0.888889,12,2,Inactive Customers
4.877115619,0.909091,7.20354688,6.988219436,5.566051801,0,1,1,0.583333,0,0,33,9.615872145,6.951350343,5.211830185,0.545455,12,2,Inactive Customers
7.588229984,1,6.773080376,6.773080376,0,0,0.166667,0.166667,0,0,0,5,8.987321813,6.296598199,6.638152564,0,12,3,EMI Users
8.648140727,1,3.882594195,0,3.882594195,7.620963896,0.166667,0,0.166667,0.75,14,2,8.699681401,7.998866124,8.150229777,0,12,1,Big Spenders
3.786548191,0.454545,5.916202063,5.916202063,0,0,0.166667,0.166667,0,0,0,2,10.04329297,7.100896606,4.244565861,0,12,3,EMI Users
6.341321888,0.909091,6.008198746,5.751778673,4.532599493,6.952395528,0.5,0.166667,0.416667,0.333333,6,12,7.601402335,7.131566721,5.749560765,0,12,2,Inactive Customers
3.239746627,0.909091,5.570784273,0,5.570784273,0,0.833333,0,0.833333,0,0,10,8.294299609,5.934255113,5.140393276,0.818182,12,0,Cash Advance Lovers
9.030154002,1,7.596030611,6.7379155,7.045323513,6.796553182,0.333333,0.166667,0.166667,0.083333,2,8,9.546884035,8.459966627,7.846998408,0,12,2,Inactive Customers
8.425248773,1,9.291874275,9.012986392,7.879102217,0,1,0.666667,1,0,0,123,8.922791624,9.151090826,7.981485741,0,12,2,Inactive Customers
1.302132557,0.090909,3.793014219,0,3.793014219,0,0.083333,0,0.083333,0,0,1,8.294299609,4.876015568,3.424264316,0.090909,12,3,EMI Users
7.359901883,1,6.471294737,6.471294737,0,7.418379889,0.166667,0.166667,0,0.416667,9,2,7.496097345,7.860335897,6.69606739,0,12,1,Big Spenders
